"CUSTOMER_ID","NAME","CITY","SIGNUP_DATE","TARIFF_ID"
9720,Yasemin,MARDİN,2027-05-02 00:00:00.000,4
9726,Sevim,DÜZCE,2026-09-04 00:00:00.000,4
9735,Fatih,SAMSUN,2026-08-02 00:00:00.000,4
9742,Özlem,HAKKARİ,2025-04-08 00:00:00.000,4
9744,İbrahim,KIRKLARELİ,2027-11-02 00:00:00.000,4
9745,Elif,TEKİRDAĞ,2026-08-03 00:00:00.000,4
9749,Halil,AĞRI,2027-05-05 00:00:00.000,4
9753,Yusuf,TRABZON,2026-03-07 00:00:00.000,4
9754,Hülya,BARTIN,2026-07-03 00:00:00.000,4
9756,Esra,ANTALYA,2028-02-03 00:00:00.000,4
9757,Ali,İSTANBUL,2027-02-12 00:00:00.000,4
9758,Rabia,UŞAK,2026-03-09 00:00:00.000,4
9760,Büşra,SİNOP,2027-07-07 00:00:00.000,4
9771,Ayşegül,KARABÜK,2025-11-10 00:00:00.000,4
9777,Sevim,DİYARBAKIR,2026-11-06 00:00:00.000,4
9781,Hülya,MALATYA,2025-11-11 00:00:00.000,4
9791,Songül,DENİZLİ,2027-04-05 00:00:00.000,4
9794,Fatma,DİYARBAKIR,2026-12-08 00:00:00.000,4
9796,Aynur,BİNGÖL,2026-06-01 00:00:00.000,4
9802,Serkan,ESKİŞEHİR,2025-06-07 00:00:00.000,4
9805,Emre,KIRIKKALE,2026-06-03 00:00:00.000,4
9808,Mahmut,KİLİS,2026-06-11 00:00:00.000,4
9810,Hüseyin,BATMAN,2026-09-11 00:00:00.000,4
9811,Osman,GİRESUN,2026-02-09 00:00:00.000,4
9815,Sevim,AĞRI,2027-03-07 00:00:00.000,4
9816,Yağmur,ŞIRNAK,2025-03-08 00:00:00.000,4
9820,Yasin,RİZE,2026-06-10 00:00:00.000,4
9822,Abdullah,KIRŞEHİR,2026-01-09 00:00:00.000,4
9833,Halil,AKSARAY,2027-10-03 00:00:00.000,4
9838,Hakan,BAYBURT,2027-04-12 00:00:00.000,4
9841,Burak,BARTIN,2028-06-03 00:00:00.000,4
9842,Murat,GİRESUN,2025-04-10 00:00:00.000,4
9847,Rabia,ÇANAKKALE,2028-03-01 00:00:00.000,4
9853,Ayşe,MARDİN,2027-07-08 00:00:00.000,4
9865,İbrahim,AMASYA,2026-11-04 00:00:00.000,4
9866,Melek,BOLU,2026-04-10 00:00:00.000,4
9552,Zehra,KAYSERİ,2026-11-03 00:00:00.000,4
9553,Emine,ADANA,2027-10-03 00:00:00.000,4
9554,Murat,MANİSA,2026-11-09 00:00:00.000,4
9556,Mehmet,OSMANİYE,2028-06-03 00:00:00.000,4
9559,Enes,GAZİANTEP,2025-02-06 00:00:00.000,4
9560,Ali,UŞAK,2025-01-07 00:00:00.000,4
9563,Songül,AMASYA,2026-05-01 00:00:00.000,4
9571,Aysel,SAKARYA,2026-10-12 00:00:00.000,4
9573,Serkan,BOLU,2025-07-12 00:00:00.000,4
9581,Emre,İZMİR,2027-04-08 00:00:00.000,4
9583,Enes,RİZE,2026-07-02 00:00:00.000,4
9584,Metin,MUŞ,2026-12-08 00:00:00.000,4
9585,Havva,NEVŞEHİR,2026-02-04 00:00:00.000,4
9588,Songül,ERZURUM,2025-06-06 00:00:00.000,4
9589,Enes,BATMAN,2027-08-01 00:00:00.000,4
9590,Kadir,AMASYA,2027-10-03 00:00:00.000,4
9591,Hatice,MERSİN,2027-04-05 00:00:00.000,4
9593,Fatih,NİĞDE,2026-05-01 00:00:00.000,4
9596,Sultan,UŞAK,2026-04-07 00:00:00.000,4
9598,Halil,DÜZCE,2027-06-06 00:00:00.000,4
9602,Ayşe,SİNOP,2027-01-08 00:00:00.000,4
9606,Büşra,ARTVİN,2025-10-12 00:00:00.000,4
9610,Ayşegül,NEVŞEHİR,2025-07-06 00:00:00.000,4
9611,Ramazan,UŞAK,2027-02-01 00:00:00.000,4
9614,Murat,ISPARTA,2026-08-05 00:00:00.000,4
9617,Yusuf,ŞANLIURFA,2025-12-04 00:00:00.000,4
9618,Sevim,GAZİANTEP,2026-07-07 00:00:00.000,4
9621,Yağmur,MUĞLA,2025-03-12 00:00:00.000,4
9625,Ali,KAYSERİ,2026-03-08 00:00:00.000,4
9627,Yasemin,ÇORUM,2026-04-11 00:00:00.000,4
9629,Osman,RİZE,2027-03-12 00:00:00.000,4
9630,Songül,GİRESUN,2025-10-08 00:00:00.000,4
9631,Merve,KONYA,2025-11-08 00:00:00.000,4
9637,Yağmur,ÇORUM,2026-11-04 00:00:00.000,4
9642,Adem,MANİSA,2026-03-02 00:00:00.000,4
9647,Hülya,ELAZIĞ,2026-11-05 00:00:00.000,4
9648,Kübra,BOLU,2026-11-09 00:00:00.000,4
9649,Sevim,BARTIN,2026-01-11 00:00:00.000,4
9650,Burak,IĞDIR,2027-03-01 00:00:00.000,4
9651,Rabia,ŞIRNAK,2025-06-05 00:00:00.000,4
9653,Özlem,KARABÜK,2026-08-09 00:00:00.000,4
9659,Ramazan,SAKARYA,2027-01-07 00:00:00.000,4
9662,Hasan,ANTALYA,2025-10-12 00:00:00.000,4
9665,Elif,SİİRT,2026-11-09 00:00:00.000,4
9666,Sevim,TEKİRDAĞ,2026-10-07 00:00:00.000,4
9667,Fatih,YOZGAT,2026-12-03 00:00:00.000,4
9668,Dilek,ANKARA,2026-11-06 00:00:00.000,4
9674,Özlem,BOLU,2026-12-07 00:00:00.000,4
9685,Melek,BİTLİS,2025-10-05 00:00:00.000,4
9686,Muhammed,ŞANLIURFA,2026-03-04 00:00:00.000,4
9694,Aynur,ADANA,2025-03-09 00:00:00.000,4
9696,Aynur,MERSİN,2026-06-03 00:00:00.000,4
9699,Hülya,ANKARA,2026-04-02 00:00:00.000,4
9701,Aysel,SAMSUN,2027-02-05 00:00:00.000,4
9703,Yağmur,MALATYA,2027-06-01 00:00:00.000,4
9704,Melek,DÜZCE,2028-01-01 00:00:00.000,4
9395,Ahmet,MUŞ,2026-11-04 00:00:00.000,4
9397,Hatice,BATMAN,2027-05-10 00:00:00.000,4
9399,Büşra,SAMSUN,2026-11-06 00:00:00.000,4
9400,Rabia,KAHRAMANMARAŞ,2025-03-10 00:00:00.000,4
9406,Süleyman,MALATYA,2028-01-03 00:00:00.000,4
9407,Aysel,GİRESUN,2025-09-09 00:00:00.000,4
9410,Fatma,ÇANKIRI,2027-04-12 00:00:00.000,4
9418,Emine,MARDİN,2025-11-12 00:00:00.000,4
9422,Metin,ANKARA,2026-09-05 00:00:00.000,4
9425,Aysel,KARABÜK,2025-11-07 00:00:00.000,4
9429,İbrahim,ISPARTA,2026-03-01 00:00:00.000,4
9440,Merve,ELAZIĞ,2026-01-08 00:00:00.000,4
9441,Fadime,AKSARAY,2025-06-09 00:00:00.000,4
9450,Osman,KAYSERİ,2026-04-12 00:00:00.000,4
9459,Emre,NİĞDE,2026-11-01 00:00:00.000,4
9461,Fatih,ZONGULDAK,2026-06-10 00:00:00.000,4
9462,Sultan,AKSARAY,2025-04-06 00:00:00.000,4
9472,Sultan,GÜMÜŞHANE,2025-11-09 00:00:00.000,4
9475,Ahmet,ADANA,2025-12-05 00:00:00.000,4
9477,Emre,TEKİRDAĞ,2025-10-05 00:00:00.000,4
9478,Ramazan,EDİRNE,2027-02-07 00:00:00.000,4
9480,Muhammed,MERSİN,2026-01-03 00:00:00.000,4
9482,Ahmet,DİYARBAKIR,2027-07-07 00:00:00.000,4
9485,Songül,AFYONKARAHİSAR,2026-11-09 00:00:00.000,4
9487,Murat,AKSARAY,2028-07-03 00:00:00.000,4
9492,Osman,AYDIN,2027-06-03 00:00:00.000,4
9497,Süleyman,DENİZLİ,2027-11-03 00:00:00.000,4
9499,Emine,MANİSA,2027-03-02 00:00:00.000,4
9508,Serkan,BALIKESİR,2025-09-08 00:00:00.000,4
9509,Merve,TRABZON,2027-01-08 00:00:00.000,4
9514,Leyla,NİĞDE,2025-11-12 00:00:00.000,4
9516,Ayşe,SAMSUN,2025-06-10 00:00:00.000,4
9520,Osman,BARTIN,2025-03-06 00:00:00.000,4
9528,Mustafa,MUŞ,2027-06-10 00:00:00.000,4
9529,Fatih,KARAMAN,2027-02-01 00:00:00.000,4
9531,Hakan,ANKARA,2025-08-11 00:00:00.000,4
9532,Özlem,RİZE,2025-03-05 00:00:00.000,4
9533,Halil,HATAY,2025-08-11 00:00:00.000,4
9538,Osman,ORDU,2025-06-09 00:00:00.000,4
9539,Muhammed,KAYSERİ,2027-06-07 00:00:00.000,4
9544,Mehmet,TRABZON,2027-12-01 00:00:00.000,4
9545,Fadime,TOKAT,2027-02-04 00:00:00.000,4
9546,Furkan,BARTIN,2026-02-06 00:00:00.000,4
9547,İbrahim,DİYARBAKIR,2025-06-05 00:00:00.000,4
9548,Havva,BARTIN,2025-01-05 00:00:00.000,4
9239,Serkan,HAKKARİ,2026-05-08 00:00:00.000,4
9240,Rabia,İZMİR,2026-06-12 00:00:00.000,4
9253,Muhammed,ISPARTA,2025-07-06 00:00:00.000,4
9255,Kadir,BURDUR,2026-12-02 00:00:00.000,4
9257,Sultan,ORDU,2027-07-03 00:00:00.000,4
9258,Enes,KIRŞEHİR,2025-04-06 00:00:00.000,4
9273,Sultan,ADANA,2027-02-10 00:00:00.000,4
9275,Enes,SİNOP,2027-04-01 00:00:00.000,4
9277,Hakan,ŞIRNAK,2025-02-07 00:00:00.000,4
9279,Aysel,KAHRAMANMARAŞ,2027-04-05 00:00:00.000,4
9285,Aysel,KARAMAN,2025-09-08 00:00:00.000,4
9289,Fadime,BATMAN,2026-12-09 00:00:00.000,4
9290,Havva,BALIKESİR,2026-05-07 00:00:00.000,4
9292,Enes,BİTLİS,2026-09-12 00:00:00.000,4
9307,Meryem,SAMSUN,2025-09-04 00:00:00.000,4
9314,Aysel,KAYSERİ,2025-03-11 00:00:00.000,4
9315,Hüseyin,ÇANKIRI,2027-11-03 00:00:00.000,4
9320,Serkan,KIRKLARELİ,2026-06-08 00:00:00.000,4
9323,Burak,KOCAELİ,2025-10-10 00:00:00.000,4
9328,Rabia,DİYARBAKIR,2027-05-10 00:00:00.000,4
9329,Fadime,ERZURUM,2026-08-08 00:00:00.000,4
9335,Ahmet,DÜZCE,2027-02-06 00:00:00.000,4
9337,Rabia,GİRESUN,2026-07-05 00:00:00.000,4
9344,Furkan,VAN,2027-06-08 00:00:00.000,4
9348,Yağmur,ÇANAKKALE,2025-04-05 00:00:00.000,4
9350,Mustafa,SİİRT,2027-11-02 00:00:00.000,4
9352,Melek,GÜMÜŞHANE,2028-02-03 00:00:00.000,4
9357,Emine,AKSARAY,2028-07-01 00:00:00.000,4
9360,Halil,BURDUR,2025-05-06 00:00:00.000,4
9363,Özlem,GÜMÜŞHANE,2025-12-08 00:00:00.000,4
9368,Osman,AKSARAY,2027-03-09 00:00:00.000,4
9369,Yasemin,OSMANİYE,2026-11-08 00:00:00.000,4
9370,Zehra,KASTAMONU,2026-09-05 00:00:00.000,4
9379,Osman,TUNCELİ,2027-01-08 00:00:00.000,4
9380,Abdullah,ADIYAMAN,2026-11-05 00:00:00.000,4
9384,Özlem,GİRESUN,2025-05-08 00:00:00.000,4
9388,Enes,KİLİS,2025-03-05 00:00:00.000,4
9390,Zehra,KİLİS,2027-06-09 00:00:00.000,4
9391,Songül,DÜZCE,2025-11-05 00:00:00.000,4
9392,Mehmet,VAN,2026-03-04 00:00:00.000,4
9086,Kadir,ÇANKIRI,2026-03-12 00:00:00.000,4
9092,Ahmet,NEVŞEHİR,2025-02-10 00:00:00.000,4
9096,Ayşegül,TRABZON,2026-05-09 00:00:00.000,4
9097,Osman,KARS,2027-01-10 00:00:00.000,4
9101,Tuğba,KİLİS,2026-12-09 00:00:00.000,4
9106,Yasin,TOKAT,2026-02-07 00:00:00.000,4
9113,Ayşe,İSTANBUL,2025-01-06 00:00:00.000,4
9114,Mehmet,VAN,2027-02-08 00:00:00.000,4
